"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"KLHDC5"	1.13863344276532	1.3281410897697e-09	7.73296228227787e-09
"IQGAP2"	-2.11997875644476	1.32828602540504e-09	7.73296228227787e-09
"CDH7"	2.24402648122119	1.33197127995603e-09	7.75338946597966e-09
"GNG12"	-1.18982100193378	1.33437388548821e-09	7.76634594109469e-09
"THC2405114"	1.5602224951903	1.33543793298302e-09	7.77150931697935e-09
"DKFZp564K142"	-1.6085397291985	1.33563689795217e-09	7.77163769058765e-09
"A_24_P204454"	-1.15961612295924	1.34505907410766e-09	7.82422337036533e-09
"FLJ22675"	-2.34463159634126	1.34520409117831e-09	7.82422337036533e-09
"MRAS"	2.6566431572589	1.34520860249868e-09	7.82422337036533e-09
"ATP2B2"	1.24763005214647	1.34672009029106e-09	7.83179401381758e-09
"NAPA"	1.26879533407787	1.34686676320575e-09	7.83179401381758e-09
"SOCS1"	-1.15033691299434	1.34737027383767e-09	7.83368495235081e-09
"BC033539"	1.32865575555586	1.34807634645911e-09	7.83675294115325e-09
"LOC401431"	1.02045990836912	1.34834722100038e-09	7.83729052206508e-09
"KIAA1826"	0.887701893303801	1.349321514095e-09	7.84191605182003e-09
"IGSF9"	-1.33783317924978	1.35000219582742e-09	7.84483418847807e-09
"THC2277556"	1.16654836047359	1.35314643144096e-09	7.86206531935364e-09
"COMMD4"	-1.17517074589472	1.3568370285358e-09	7.88235136933659e-09
"AK125371"	1.27716033716191	1.35699673138086e-09	7.88235136933659e-09
"COL12A1"	-0.947229538864099	1.35868426910083e-09	7.89111034186521e-09
"RNF144"	0.979429107991569	1.36792322903274e-09	7.94371915064604e-09
"C4orf12"	0.990106360690062	1.36813147644018e-09	7.94387838904224e-09
"TAF1A"	-0.960772712976565	1.37077081279372e-09	7.95815152330396e-09
"GRM5"	1.96553643362041	1.37189529676332e-09	7.9636274157121e-09
"SIPA1L3"	1.04248952217923	1.37274266359267e-09	7.96749345412731e-09
"RPIA"	-1.14214696408481	1.37405224320037e-09	7.97404083170877e-09
"RABGEF1"	-1.09930037373867	1.3760525869642e-09	7.98459466357473e-09
"FLJ23518"	1.00800028031699	1.37627702764293e-09	7.98484232717667e-09
"GALNTL2"	2.36812530617547	1.37647293531707e-09	7.98492440531021e-09
"ATP6V1E1"	1.62837566742147	1.37683489951886e-09	7.98571726414385e-09
"ENST00000341249"	-1.20567442511785	1.37697316873938e-09	7.98571726414385e-09
"FOXK2"	-1.11054553023172	1.3781882550761e-09	7.99170911216318e-09
"FRMD5"	1.28505899530861	1.380313055576e-09	8.00280188480431e-09
"BIK"	-1.11947728033249	1.38046556379429e-09	8.00280188480431e-09
"TMEM30B"	-1.42447775405319	1.38091535521614e-09	8.00435314289485e-09
